CustomerID,RetailerName,Country,ContactNumber
1,Tesco,France,350-328-3286
2,Tesco,Canada,532-132-1488
3,Tesko,UK,617-716-1434
4,Krogger,Canada,529-325-8359
5,Met ro,USA,877-925-3615
6,Lidl.,France,259-320-6514
7,Tesco,Germany,199-467-6635
8,Met ro,USA,847-570-9785
9,Tes co,USA,665-400-6925
10,Metr0,USA,146-777-4733
11,Costco,UK,987-203-7227
12,Costko,France,266-479-6820
13,Alldi,USA,723-750-3803
14,Krogger,UK,573-488-5422
15,Krogger,France,963-886-1916
16,Aldi,France,510-374-2084
17,Alldi,UK,771-611-7482
18,Amzn Fresh,France,242-352-9830
19,Costko,Canada,508-470-4593
20,Carfor,USA,873-148-2796
21,Carre four,Germany,710-165-7304
22,Li dl,Canada,357-666-1188
23,Tesc0,France,214-400-8123
24,Carfor,USA,839-996-5315
25,Krogger,Canada,208-991-5889
26,Krogger,UK,482-880-3646
27,Kroger,Canada,431-600-1319
28,Tesc0,France,345-159-4946
29,Metro,USA,849-597-2133
30,Krogger,UK,775-586-3705
